GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1500000US110010001001,110010001001,"Block Group 1, Census Tract 1, District of Columbia, District of Columbia",1343,1222,21,3,54,1,22,20
1500000US110010001002,110010001002,"Block Group 2, Census Tract 1, District of Columbia, District of Columbia",1384,1250,34,4,54,1,7,34
1500000US110010001003,110010001003,"Block Group 3, Census Tract 1, District of Columbia, District of Columbia",1163,1079,16,0,48,0,7,13
1500000US110010001004,110010001004,"Block Group 4, Census Tract 1, District of Columbia, District of Columbia",1000,893,34,2,45,0,11,15
1500000US110010002011,110010002011,"Block Group 1, Census Tract 2.01, District of Columbia, District of Columbia",3916,2940,259,7,482,5,43,180
1500000US110010002021,110010002021,"Block Group 1, Census Tract 2.02, District of Columbia, District of Columbia",1196,1081,25,2,56,1,12,19
1500000US110010002022,110010002022,"Block Group 2, Census Tract 2.02, District of Columbia, District of Columbia",813,749,3,1,35,0,4,21
1500000US110010002023,110010002023,"Block Group 3, Census Tract 2.02, District of Columbia, District of Columbia",1053,954,15,1,57,0,5,21
1500000US110010002024,110010002024,"Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",2363,1921,116,1,227,2,26,70
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",1384,1222,24,4,91,0,8,35
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",1487,1246,55,4,101,0,34,47
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",1788,1586,41,1,98,1,21,40
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",1574,1443,19,2,62,0,13,35
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",654,594,23,1,25,0,7,4
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",801,653,27,1,78,0,19,23
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",1735,1459,85,7,111,1,23,49
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",1641,1394,39,0,138,0,10,60
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",1850,1585,47,14,108,0,53,43
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",1339,1135,48,1,84,0,20,51
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",1127,983,34,3,56,1,21,29
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",1107,969,33,3,49,0,14,39
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",592,493,28,1,30,0,19,21
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",1713,1433,130,3,72,1,19,55
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",1577,1207,110,14,125,0,58,63
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",658,525,44,0,53,0,25,11
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",1252,1159,31,3,36,0,10,13
1500000US110010007014,110010007014,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia",1133,957,50,1,74,4,16,31
1500000US110010007021,110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",1255,1088,48,2,52,0,29,36
1500000US110010007022,110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",1063,764,98,4,127,0,33,37
1500000US110010007023,110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",1046,899,46,1,45,1,22,32
1500000US110010008011,110010008011,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",2590,2139,157,3,163,0,55,73
1500000US110010008012,110010008012,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia",991,841,44,2,57,0,11,36
1500000US110010008013,110010008013,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia",2097,1879,46,0,94,1,27,50
1500000US110010008014,110010008014,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia",1031,860,69,0,60,0,18,24
1500000US110010008021,110010008021,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",1766,1425,99,3,157,1,27,54
1500000US110010008022,110010008022,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",1103,965,8,1,75,1,13,40
1500000US110010009011,110010009011,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",1480,1307,65,2,56,0,6,44
1500000US110010009012,110010009012,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",1583,1448,45,0,48,0,20,22
1500000US110010009013,110010009013,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia",4112,3380,150,14,347,3,55,163
1500000US110010009021,110010009021,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia",749,670,33,0,26,0,1,19
1500000US110010009022,110010009022,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",1343,1191,34,4,51,1,10,52
1500000US110010010011,110010010011,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia",671,596,22,1,20,0,6,26
1500000US110010010012,110010010012,"Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia",1976,1657,100,8,119,0,25,67
1500000US110010010013,110010010013,"Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia",1030,926,18,0,32,0,14,40
1500000US110010010014,110010010014,"Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia",1852,1499,91,2,166,2,16,76
1500000US110010010015,110010010015,"Block Group 5, Census Tract 10.01, District of Columbia, District of Columbia",798,652,38,3,62,0,8,35
1500000US110010010016,110010010016,"Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia",1109,1012,29,3,33,0,8,24
1500000US110010010021,110010010021,"Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia",1255,969,74,2,165,0,11,34
1500000US110010010022,110010010022,"Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia",1444,1184,80,1,107,0,20,52
1500000US110010010023,110010010023,"Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia",743,635,31,4,39,0,7,27
1500000US110010011001,110010011001,"Block Group 1, Census Tract 11, District of Columbia, District of Columbia",1827,1564,97,2,112,4,12,36
1500000US110010011002,110010011002,"Block Group 2, Census Tract 11, District of Columbia, District of Columbia",1634,1304,143,5,94,1,28,59
1500000US110010011003,110010011003,"Block Group 3, Census Tract 11, District of Columbia, District of Columbia",596,534,21,0,26,1,6,8
1500000US110010011004,110010011004,"Block Group 4, Census Tract 11, District of Columbia, District of Columbia",722,610,29,2,41,0,5,35
1500000US110010012001,110010012001,"Block Group 1, Census Tract 12, District of Columbia, District of Columbia",1821,1438,122,4,158,0,38,61
1500000US110010012002,110010012002,"Block Group 2, Census Tract 12, District of Columbia, District of Columbia",1018,832,77,4,72,1,14,18
1500000US110010012003,110010012003,"Block Group 3, Census Tract 12, District of Columbia, District of Columbia",772,623,25,3,77,2,17,25
1500000US110010012004,110010012004,"Block Group 4, Census Tract 12, District of Columbia, District of Columbia",1397,1180,48,7,81,0,27,54
1500000US110010013011,110010013011,"Block Group 1, Census Tract 13.01, District of Columbia, District of Columbia",1578,1249,107,0,159,0,20,43
1500000US110010013012,110010013012,"Block Group 2, Census Tract 13.01, District of Columbia, District of Columbia",678,518,85,2,33,0,12,28
1500000US110010013013,110010013013,"Block Group 3, Census Tract 13.01, District of Columbia, District of Columbia",1699,1280,182,5,165,0,26,41
1500000US110010013021,110010013021,"Block Group 1, Census Tract 13.02, District of Columbia, District of Columbia",2296,1786,188,4,230,1,24,63
1500000US110010013022,110010013022,"Block Group 2, Census Tract 13.02, District of Columbia, District of Columbia",3649,3084,137,9,289,1,39,90
1500000US110010013023,110010013023,"Block Group 3, Census Tract 13.02, District of Columbia, District of Columbia",912,726,54,0,76,0,24,32
1500000US110010014011,110010014011,"Block Group 1, Census Tract 14.01, District of Columbia, District of Columbia",1936,1515,151,3,159,0,38,70
1500000US110010014012,110010014012,"Block Group 2, Census Tract 14.01, District of Columbia, District of Columbia",1142,1026,27,2,39,0,15,33
1500000US110010014021,110010014021,"Block Group 1, Census Tract 14.02, District of Columbia, District of Columbia",928,792,83,0,23,0,6,24
1500000US110010014022,110010014022,"Block Group 2, Census Tract 14.02, District of Columbia, District of Columbia",797,683,64,0,18,0,9,23
1500000US110010014023,110010014023,"Block Group 3, Census Tract 14.02, District of Columbia, District of Columbia",1273,859,209,5,119,0,51,30
1500000US110010015001,110010015001,"Block Group 1, Census Tract 15, District of Columbia, District of Columbia",1441,963,340,2,47,1,33,55
1500000US110010015002,110010015002,"Block Group 2, Census Tract 15, District of Columbia, District of Columbia",872,786,41,0,14,0,3,28
1500000US110010015003,110010015003,"Block Group 3, Census Tract 15, District of Columbia, District of Columbia",994,891,44,3,14,0,11,31
1500000US110010015004,110010015004,"Block Group 4, Census Tract 15, District of Columbia, District of Columbia",1541,1273,183,2,44,1,4,34
1500000US110010015005,110010015005,"Block Group 5, Census Tract 15, District of Columbia, District of Columbia",1063,964,35,0,26,0,4,34
1500000US110010016001,110010016001,"Block Group 1, Census Tract 16, District of Columbia, District of Columbia",1048,237,736,2,18,0,10,45
1500000US110010016002,110010016002,"Block Group 2, Census Tract 16, District of Columbia, District of Columbia",671,192,377,0,7,1,39,55
1500000US110010016003,110010016003,"Block Group 3, Census Tract 16, District of Columbia, District of Columbia",819,195,581,1,16,0,11,15
1500000US110010016004,110010016004,"Block Group 4, Census Tract 16, District of Columbia, District of Columbia",1419,373,976,5,14,0,8,43
1500000US110010017021,110010017021,"Block Group 1, Census Tract 17.02, District of Columbia, District of Columbia",1352,605,596,5,55,0,32,59
1500000US110010017022,110010017022,"Block Group 2, Census Tract 17.02, District of Columbia, District of Columbia",1292,415,746,1,24,1,39,66
1500000US110010018031,110010018031,"Block Group 1, Census Tract 18.03, District of Columbia, District of Columbia",1096,156,823,3,8,7,70,29
1500000US110010018032,110010018032,"Block Group 2, Census Tract 18.03, District of Columbia, District of Columbia",2418,198,1549,4,65,1,517,84
1500000US110010018041,110010018041,"Block Group 1, Census Tract 18.04, District of Columbia, District of Columbia",1116,154,786,3,10,0,122,41
1500000US110010018042,110010018042,"Block Group 2, Census Tract 18.04, District of Columbia, District of Columbia",1262,135,844,5,32,0,192,54
1500000US110010018043,110010018043,"Block Group 3, Census Tract 18.04, District of Columbia, District of Columbia",2102,260,1353,12,9,0,393,75
1500000US110010019011,110010019011,"Block Group 1, Census Tract 19.01, District of Columbia, District of Columbia",931,50,747,5,10,2,87,30
1500000US110010019012,110010019012,"Block Group 2, Census Tract 19.01, District of Columbia, District of Columbia",936,86,773,2,2,0,41,32
1500000US110010019013,110010019013,"Block Group 3, Census Tract 19.01, District of Columbia, District of Columbia",1308,140,903,14,14,0,199,38
1500000US110010019014,110010019014,"Block Group 4, Census Tract 19.01, District of Columbia, District of Columbia",841,148,600,10,10,1,43,29
1500000US110010019021,110010019021,"Block Group 1, Census Tract 19.02, District of Columbia, District of Columbia",1252,123,1003,2,9,0,69,46
1500000US110010019022,110010019022,"Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia",717,114,534,0,15,0,22,32
1500000US110010020011,110010020011,"Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia",1297,203,681,8,31,0,324,50
1500000US110010020012,110010020012,"Block Group 2, Census Tract 20.01, District of Columbia, District of Columbia",1043,395,491,2,30,4,75,46
1500000US110010020021,110010020021,"Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia",992,236,600,4,22,2,75,53
1500000US110010020022,110010020022,"Block Group 2, Census Tract 20.02, District of Columbia, District of Columbia",1407,241,785,8,13,7,262,91
1500000US110010020023,110010020023,"Block Group 3, Census Tract 20.02, District of Columbia, District of Columbia",1414,301,912,2,19,0,122,58
1500000US110010021011,110010021011,"Block Group 1, Census Tract 21.01, District of Columbia, District of Columbia",1500,126,1042,6,30,9,216,71
1500000US110010021012,110010021012,"Block Group 2, Census Tract 21.01, District of Columbia, District of Columbia",977,178,490,2,31,0,219,57
1500000US110010021013,110010021013,"Block Group 3, Census Tract 21.01, District of Columbia, District of Columbia",1236,176,826,6,2,0,155,71
1500000US110010021014,110010021014,"Block Group 4, Census Tract 21.01, District of Columbia, District of Columbia",785,102,460,12,4,0,195,12
1500000US110010021015,110010021015,"Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia",811,93,483,8,32,0,172,23
1500000US110010021021,110010021021,"Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia",892,45,732,3,10,0,72,30
1500000US110010021022,110010021022,"Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia",811,65,641,2,8,0,72,23
1500000US110010021023,110010021023,"Block Group 3, Census Tract 21.02, District of Columbia, District of Columbia",718,41,574,4,5,0,68,26
1500000US110010021024,110010021024,"Block Group 4, Census Tract 21.02, District of Columbia, District of Columbia",760,57,619,1,3,0,59,21
1500000US110010021025,110010021025,"Block Group 5, Census Tract 21.02, District of Columbia, District of Columbia",609,87,421,5,0,0,88,8
1500000US110010021026,110010021026,"Block Group 6, Census Tract 21.02, District of Columbia, District of Columbia",858,103,596,0,1,0,141,17
1500000US110010022011,110010022011,"Block Group 1, Census Tract 22.01, District of Columbia, District of Columbia",1265,171,879,1,5,0,180,29
1500000US110010022012,110010022012,"Block Group 2, Census Tract 22.01, District of Columbia, District of Columbia",1347,197,859,10,27,0,212,42
1500000US110010022013,110010022013,"Block Group 3, Census Tract 22.01, District of Columbia, District of Columbia",830,64,593,1,23,0,132,17
1500000US110010022021,110010022021,"Block Group 1, Census Tract 22.02, District of Columbia, District of Columbia",1396,167,895,19,14,1,249,51
1500000US110010022022,110010022022,"Block Group 2, Census Tract 22.02, District of Columbia, District of Columbia",750,50,561,0,5,0,84,50
1500000US110010022023,110010022023,"Block Group 3, Census Tract 22.02, District of Columbia, District of Columbia",941,68,721,7,9,0,96,40
1500000US110010023011,110010023011,"Block Group 1, Census Tract 23.01, District of Columbia, District of Columbia",1176,193,841,5,20,0,101,16
1500000US110010023012,110010023012,"Block Group 2, Census Tract 23.01, District of Columbia, District of Columbia",1798,281,1296,15,17,2,128,59
1500000US110010023021,110010023021,"Block Group 1, Census Tract 23.02, District of Columbia, District of Columbia",2036,1022,870,10,60,0,21,53
1500000US110010024001,110010024001,"Block Group 1, Census Tract 24, District of Columbia, District of Columbia",870,220,486,0,20,0,114,30
1500000US110010024002,110010024002,"Block Group 2, Census Tract 24, District of Columbia, District of Columbia",1089,215,728,8,14,0,101,23
1500000US110010024003,110010024003,"Block Group 3, Census Tract 24, District of Columbia, District of Columbia",650,142,408,1,19,1,63,16
1500000US110010024004,110010024004,"Block Group 4, Census Tract 24, District of Columbia, District of Columbia",1009,216,671,6,7,0,84,25
1500000US110010025011,110010025011,"Block Group 1, Census Tract 25.01, District of Columbia, District of Columbia",1148,154,753,4,4,4,183,46
1500000US110010025012,110010025012,"Block Group 2, Census Tract 25.01, District of Columbia, District of Columbia",1406,459,679,7,21,0,171,69
1500000US110010025021,110010025021,"Block Group 1, Census Tract 25.02, District of Columbia, District of Columbia",1038,166,580,6,9,0,228,49
1500000US110010025022,110010025022,"Block Group 2, Census Tract 25.02, District of Columbia, District of Columbia",1376,373,714,7,22,0,194,66
1500000US110010025023,110010025023,"Block Group 3, Census Tract 25.02, District of Columbia, District of Columbia",1383,402,552,2,25,4,301,97
1500000US110010025024,110010025024,"Block Group 4, Census Tract 25.02, District of Columbia, District of Columbia",2176,552,650,24,35,1,667,247
1500000US110010026001,110010026001,"Block Group 1, Census Tract 26, District of Columbia, District of Columbia",928,435,374,2,27,0,43,47
1500000US110010026002,110010026002,"Block Group 2, Census Tract 26, District of Columbia, District of Columbia",1238,481,652,4,40,0,16,45
1500000US110010027011,110010027011,"Block Group 1, Census Tract 27.01, District of Columbia, District of Columbia",553,389,84,1,40,0,13,26
1500000US110010027012,110010027012,"Block Group 2, Census Tract 27.01, District of Columbia, District of Columbia",1880,1046,472,5,117,2,144,94
1500000US110010027013,110010027013,"Block Group 3, Census Tract 27.01, District of Columbia, District of Columbia",871,686,97,6,35,0,13,34
1500000US110010027014,110010027014,"Block Group 4, Census Tract 27.01, District of Columbia, District of Columbia",1929,707,628,17,84,0,403,90
1500000US110010027021,110010027021,"Block Group 1, Census Tract 27.02, District of Columbia, District of Columbia",1608,782,197,37,85,1,425,81
1500000US110010027022,110010027022,"Block Group 2, Census Tract 27.02, District of Columbia, District of Columbia",2253,1599,334,10,79,0,141,90
1500000US110010027023,110010027023,"Block Group 3, Census Tract 27.02, District of Columbia, District of Columbia",1365,1058,168,1,41,0,48,49
1500000US110010028011,110010028011,"Block Group 1, Census Tract 28.01, District of Columbia, District of Columbia",1319,597,433,7,57,1,167,57
1500000US110010028012,110010028012,"Block Group 2, Census Tract 28.01, District of Columbia, District of Columbia",2454,644,926,16,98,0,656,114
1500000US110010028021,110010028021,"Block Group 1, Census Tract 28.02, District of Columbia, District of Columbia",2385,1038,567,23,110,1,515,131
1500000US110010028022,110010028022,"Block Group 2, Census Tract 28.02, District of Columbia, District of Columbia",1892,715,502,28,71,1,472,103
1500000US110010029001,110010029001,"Block Group 1, Census Tract 29, District of Columbia, District of Columbia",1802,658,699,8,39,1,327,70
1500000US110010029002,110010029002,"Block Group 2, Census Tract 29, District of Columbia, District of Columbia",2160,948,547,21,86,4,381,173
1500000US110010030001,110010030001,"Block Group 1, Census Tract 30, District of Columbia, District of Columbia",1562,822,396,3,93,5,155,88
1500000US110010030002,110010030002,"Block Group 2, Census Tract 30, District of Columbia, District of Columbia",1836,554,1059,2,32,0,126,63
1500000US110010031001,110010031001,"Block Group 1, Census Tract 31, District of Columbia, District of Columbia",2885,949,1086,18,101,0,603,128
1500000US110010032001,110010032001,"Block Group 1, Census Tract 32, District of Columbia, District of Columbia",1060,276,653,4,16,0,87,24
1500000US110010032002,110010032002,"Block Group 2, Census Tract 32, District of Columbia, District of Columbia",911,233,513,2,9,0,144,10
1500000US110010032003,110010032003,"Block Group 3, Census Tract 32, District of Columbia, District of Columbia",1572,308,946,11,26,1,230,50
1500000US110010032004,110010032004,"Block Group 4, Census Tract 32, District of Columbia, District of Columbia",1370,297,805,5,41,0,196,26
